Nome,Descricao
Audiência Cativa,"Jhin posiciona uma armadilha de lótus invisível que floresce ao ser pisada. Ela reduz a velocidade de inimigos próximos antes de causar dano com uma explosão de pétalas serrilhadas. 

Beleza em Morte - Quando Jhin abate um Campeão inimigo, uma armadilha de lótus florescerá próximo a seu cadáver."
Aclamação,"Jhin canaliza, transformando a Sussurro em um mega-canhão de ombro. Ela é capaz de fazer 4 super disparos com extremo alcance que atravessam tropas e monstros, mas que param no primeiro campeão atingido. A Sussurro mutila os inimigos atingidos, o que reduz sua velocidade e aumenta o dano de execução. O 4º disparo é feito com perfeição, de poder épico e garante um acerto crítico."
Jayce,o Defensor do Amanhã
Capacitor Hextec,"Quando Jayce troca de arma, ele recebe Velocidade de Movimento por um curto período."
Aos Céus! / Disparo Chocante,"Empunhadura de Martelo: Salta na direção de um inimigo, causando Dano Físico e Lentidão.

Empunhadura de Canhão: Dispara um orbe de eletricidade que detona ao atingir um inimigo (ou ao alcançar o fim de seu trajeto), causando Dano Físico a todos os inimigos atingidos."
Campo Estático / Hipercarga,"Empunhadura de Martelo: Passivo: Restaura Mana a cada acerto. Ativo: Cria um campo elétrico que causa dano a inimigos próximos por muitos segundos.

Empunhadura de Canhão: Recebe um impulso de energia, aumentando a Velocidade de Ataque para seu máximo por diversos ataques."
Golpe Trovejante / Portão Acelerador,"Empunhadura de Martelo: Causa Dano Mágico a um inimigo e o joga para trás em uma curta distância.

Empunhadura de Canhão: Posiciona um Portão Acelerador que aumenta a Velocidade de Movimento de campeões aliados que o atravessarem. Se Disparo Chocante for usado através do portão, a velocidade do projétil, seu alcance e seu dano aumentarão."
Canhão de Mercúrio / Martelo de Mercúrio,"Empunhadura de Martelo: Transforma o Martelo de Mercúrio em Canhão de Mercúrio, recebendo novas habilidades e ataques à distância. O primeiro ataque desta forma reduzirá a Armadura e a Resistência Mágica do alvo.

Empunhadura de Canhão: Transforma o Canhão de Mercúrio em Martelo de Mercúrio, recebendo novas habilidades, aumentando a Resistência Mágica e a Armadura. O primeiro ataque desta forma causará Dano Mágico adicional."
Kennen,o Coração da Tempestade
Marca da Tormenta,Kennen atordoa os inimigos que atingir 3 vezes com suas habilidades.
Shuriken Trovejante,"Kennen arremessa um shuriken de alta velocidade em um local, causando dano e adicionando uma Marca da Tormenta a qualquer oponente atingido."
Surto Elétrico,Kennen passivamente causa dano adicional e adiciona uma Marca da Tormenta a seu alvo a cada certo número de ataques. Ele pode ativar essa habilidade para causar dano e adicionar outra Marca da Tormenta a alvos que já estão marcados.
Investida Relâmpago,"Kennen assume uma forma de relâmpago, permitindo que passe por unidades e aplique a Marca da Tormenta. Ele também ganha Velocidade de Movimento ao assumir essa forma e Velocidade de Ataque ao sair dela."
Turbilhão Cortante,Kennen invoca uma tempestade que atinge campeões inimigos próximos com Dano Mágico.
Kha'Zix,o Ceifador do Vazio
Ameaça Invisível,"Inimigos próximos que estiverem isolados de seus aliados são marcados. As habilidades de Kha'Zix possuem interações com alvos isolados.

Quando Kha'Zix não estiver visível para a equipe inimiga, ele recebe Ameaça Invisível, fazendo com que seu próximo ataque básico contra um Campeão inimigo cause Dano Mágico adicional e reduza a velocidade do alvo por alguns segundos."
Sabor de Medo,"Causa Dano Físico ao alvo. Dano aumentado em alvos Isolados. Caso ele escolha Evoluir Garras Aumentadas, recupera um percentual de seu Tempo de Recarga contra alvos Isolados. Kha'Zix também recebe aumento de alcance em seus ataques básicos e em Sabor de Medo."
Espinho do Vazio,"Kha'Zix dispara espinhos explosivos que causam Dano Físico aos inimigos atingidos. Kha'Zix é curado caso esteja no raio da explosão. Caso escolha Evoluir Fileiras de Espinhos, Espinho do Vazio passa a disparar três espinhos em área de cone, reduz a velocidade dos inimigos atingidos e revela Campeões inimigos atingidos por 2 segundos. Alvos Isolados têm redução adicional de velocidade."
Salto,"Kha'Zix salta em uma área, causando Dano Físico ao aterrissar. Caso ele escolha Evoluir Asas, o alcance do Salto é aumentado em 200 e o Tempo de Recarga é zerado com o abate ou assistência de Campeões."
Massacre do Vazio,"Cada nível permite que Kha'Zix evolua uma de suas habilidades, dando a elas um efeito único adicional. Quando ativada, Kha'Zix fica Invisível, acionando Ameaça Invisível e aumentando sua Velocidade de Movimento. Caso ele escolha Evoluir Camuflagem Adaptativa, Massacre do Vazio ganha maior duração de Invisibilidade e um uso adicional."
Kindred,os Caçadores Eternos
Marca Familiar,"Os Kindred marcam alvos para Caçar. Concluir uma Caçada fortalece permanentemente as habilidades básicas deles. A cada 4 caçadas concluídas, o Alcance de Ataque também aumenta."
Dança de Flechas,Os Kindred rolam e disparam até três flechas em alvos próximos.
Frenesi do Lobo,"O Lobo se enraivece e ataca inimigos à sua volta. A Ovelha ganha acúmulos passivamente ao se mover e atacar. Quando totalmente carregado, o próximo ataque da Ovelha recupera Vida."
Pesar Crescente,"A Ovelha faz um disparo cuidadoso, reduzindo a velocidade de seu alvo. Se a Ovelha atacar o alvo mais duas vezes, seu próximo ataque fará com que o Lobo salte no inimigo, golpeando-o e causando muito dano."
Refúgio da Ovelha,"A Ovelha concede refúgio contra a morte para todos os seres vivos em uma área. Até que seu efeito acabe, nada pode morrer. No fim de sua duração, as unidades são curadas."
Jax,o Grão-Mestre das Armas
Kayn,o Ceifador das Sombras
A Foice Darkin,"Kayn empunha uma arma ancestral, lutando contra Rhaast, o darkin que vive dentro dela, pelo controle. Ou o Darkin triunfará ou Kayn dominará Rhaast para se tornar o Assassino das Sombras.

Darkin: Cura uma porcentagem do dano de habilidades causado a Campeões.

Assassino das Sombras: Causa dano adicional nos primeiros segundos em combate com Campeões inimigos."
Corte Ceifador,"Kayn avança, depois ataca. Ambos dão dano."
Alcance da Lâmina,Kayn causa dano e reduz a velocidade dos alvos na linha de fogo.
Passo das Sombras,Kayn pode atravessar terrenos.
Transgressão do Umbral,Kayn se esconde no corpo de um inimigo e causa bastante dano quando rasga sua saída.
Katarina,a Lâmina Sinistra
Voracidade,"Os Tempos de Recarga de Katarina são reduzidos dramaticamente sempre que um Campeão que ela havia causado dano recentemente morrer.

Se apanhar uma Adaga, Katarina a usa para cortar todos os inimigos próximos, causando Dano Mágico."
Lâmina Saltitante,Katarina arremessa uma Adaga no alvo. Ela salta em inimigos próximos antes de ricochetear e cair no chão.
Preparação,Katarina recebe um impulso de Velocidade de Movimento e joga uma Adaga para cima.
Shunpo,"Katarina desloca-se em direção ao alvo, golpeando-o caso seja inimigo ou golpeando o inimigo mais próximo caso não seja."
Lótus da Morte,"Katarina gira em torno de si mesma, disparando adagas muito rapidamente e causando muito Dano Mágico nos 3 Campeões inimigos mais próximos."
Kassadin,o Andarilho do Vazio
Pedra do Vazio,Kassadin sofre Dano Mágico reduzido e ignora colisão com unidades.
Esfera Nula,"Kassadin dispara um orbe de energia do Vazio em um alvo, causando dano e interrompendo canalizações. A energia excedente toma forma ao seu redor, concedendo um escudo temporário que absorve Dano Mágico."
Lâmina Ínfera,Passivo: Os ataques básicos de Kassadin causam Dano Mágico adicional. Ativo: O próximo ataque básico de Kassadin causa Dano Mágico adicional significativo e restaura Mana.
Força de Pulso,"Kassadin drena energia de habilidades conjuradas nas proximidades. Ao estar carregado, Kassadin pode usar Força de Pulso para causar dano e reduzir a velocidade de inimigos em uma área em cone à sua frente."
Caminhar na Fenda,"Kassadin se teleporta para um local próximo, causando dano a unidades inimigas próximas. Múltiplas conjurações de Caminhar na Fenda em um curto período custam Mana adicional e também causam dano adicional."
Taric,o Escudo de Valoran
Bravata,"Conjurações fortalecem os próximos 2 ataques básicos de Taric, causando Dano Mágico adicional, reduzindo Tempos de Recarga e atacando em rápida sucessão."
Fulgor Estelar,Cura Campeões aliados próximos com base nas cargas armazenadas. Ataques fortalecidos por Bravata concedem uma carga de Fulgor Estelar.
Bastião,"Aumenta passivamente a Armadura de Taric e de qualquer Campeão aliado com Bastião.

Protege ativamente um aliado e lhe concede Bastião por todo o tempo que permanecer próximo a Taric. As habilidades de Taric também são conjuradas a partir do aliado com Bastião."
Deslumbrar,"Taric prepara um feixe de luz estelar que, após um breve intervalo, causa Dano Mágico e atordoa inimigos."
Resplendor Cósmico,"Faz pulsar energia cósmica em Campeões aliados próximos após um intervalo, tornando-os invulneráveis por um curto período."
Investida Implacável,Os ataques básicos consecutivos de Jax continuamente aumentam sua Velocidade de Ataque.
Salto Atacante,"Jax salta em direção a uma unidade. Caso seja um inimigo, ele o atingirá com sua arma."
Energizar,"Jax acumula energia em sua arma, fazendo com que seu próximo ataque básico ou Salto Atacante cause dano adicional."
Contra-Ataque,"A proeza combatente de Jax lhe permite desviar de todos os ataques recebidos por um curto período de tempo, contra-atacando logo em seguida e atordoando os inimigos ao seu redor."
Poder do Grão-Mestre,"Cada terceiro ataque consecutivo causa Dano Mágico adicional. Além disso, Jax pode ativar essa habilidade para fortalecer sua determinação, aumentando sua Armadura e Resistência Mágica por um curto período de tempo."
Zyra,a Ascensão dos Espinhos
Jardim de Espinhos,"Sementes surgem periodicamente ao redor de Zyra, mais rapidamente dependendo do nível. Zyra pode conjurar Farpas Mortais ou Pântano das Raízes próximo a sementes para fazer surgir plantas que lutarão por ela."
Farpas Mortais,"Vinhas espessas se espalham pelo chão e explodem em farpas, causando Dano Mágico a inimigos dentro da área. Se conjurada perto de uma semente, Farpas Mortais faz surgir uma planta Cospe-Espinhos, que dispara contra inimigos distantes."
Crescimento Desenfreado,"Zyra planta uma semente com duração de 60s. Conjurar Farpas Mortais e Pântano das Raízes perto das sementes fará surgir plantas que lutam por Zyra. Zyra pode armazenar várias sementes ao mesmo tempo, e abater inimigos reduz o tempo de recarregamento de Crescimento Desenfreado."
Pântano das Raízes,"Zyra lança vinhas pelo chão para prenderem seu alvo, causando dano e enraizando inimigos atingidos. Se conjurada próxima a uma semente, Pântano das Raízes faz surgir Vinhas Ásperas com ataques de curta distância que reduzem a Velocidade de Movimento do inimigo."
Espinhos Sufocantes,"Zyra invoca raízes retorcidas no local-alvo, causando dano a inimigos conforme elas se expandem e arremessando-os ao ar quando se contraem. Plantas ao alcance das raízes ficam enfurecidas."
Zoe,o Aspecto do Crepúsculo
Brililim!,O próximo ataque básico após Zoe conjurar uma habilidade causa Dano Mágico adicional.
Estrela Desviada!,Zoe dispara um projétil que pode ser redirecionado durante o percurso. Causa mais dano quanto maior for a distância percorrida em linha reta.
Roubo Arcano,"Zoe pode apanhar os vestígios das conjurações de Feitiço de Invocador ou de itens ativos do inimigo para que ela mesma os conjure. Sempre que ela conjura um Feitiço de Invocador, ela ganha 3 projéteis que são disparados contra o alvo mais próximo."
Bolha do Soninho,"Faz com que o alvo fique sonolento e depois adormeça. A primeira fonte de dano que interromper o sono é dobrada, até determinado limite."
Salto Dimensional,"Teleporta-se para uma posição próxima por 1s, depois se teleporta de volta."
Kayle,a Justa
Ascensão Divina,"Os ataques de Kayle são fortalecidos pelos céus conforme ela aumenta de nível de Campeão e de habilidades. Suas asas ficam flamejantes conforme ela progressivamente ganha Velocidade de Ataque, Velocidade de Movimento, Alcance de Ataque e ondas de fogo em seus ataques."
Explosão Radiante,"Kayle conjura um portal, invocando uma espada celestial que atravessa os inimigos, causando dano e reduzindo a velocidade e as resistências de tudo que atingir."
Bênção Celestial,"Abençoada pelas divindades, Kayle cura e concede Velocidade de Movimento a si mesma e ao aliado mais próximo."
Lâmina de Fogo Estelar,"Passivo: a espada celestial de Kayle, Virtude, causa Dano Mágico adicional aos inimigos que ela ataca.

Ativo: o próximo ataque de Kayle atinge seu alvo com fogo celestial, causando dano adicional proporcional à Vida perdida do alvo."
Sentença Divina,Kayle torna um aliado invulnerável e evoca os antigos Aspectos da Justiça para purificarem a área ao redor do seu alvo com uma chuva de espadas sagradas.
Zilean,o Guardião do Tempo
Tempo Engarrafado,"Zilean armazena tempo como Experiência, podendo concedê-la aos aliados. Quando tiver Experiência o suficiente para completar o nível de um aliado, Zilean pode clicar com o botão direito nele para conceder os pontos. Zilean recebe a mesma quantidade de Experiência que concede."
Bomba-relógio,"Arremessa uma bomba no local-alvo, que gruda em unidades que se aproximarem (priorizando Campeões). Ela detona após 3 segundos, causando dano em área. Se uma Bomba-relógio for detonada antecipadamente por outra, o efeito também atordoa inimigos."
Retroceder,"Zilean pode se preparar para confrontos futuros, reduzindo o Tempo de Recarga de suas outras habilidades básicas."
Distorção no Tempo,"Zilean manipula o tempo ao redor de qualquer unidade, causando Lentidão a um inimigo ou concedendo Velocidade de Movimento a um aliado por um curto período."
Alteração Temporal,"Zilean coloca uma runa protetora do tempo em um Campeão aliado, teletransportando-o de volta no tempo se ele receber um dano letal."
Ziggs,o Especialista em Hexplosivos
Pavio Curto,"Periodicamente, o próximo ataque básico de Ziggs causa Dano Mágico adicional. Esse Tempo de Recarga é reduzido sempre que Ziggs usa uma habilidade."
Bomba Saltitante,Ziggs arremessa uma bomba que causa Dano Mágico.
Carga Concentrada,"Ziggs arremessa uma carga explosiva que detona depois de 4s ou quando a habilidade é ativada novamente. A explosão causa Dano Mágico a inimigos, arremessando-os para longe. Ziggs também é empurrado, mas não recebe dano, além de poder usar Carga para Hexplodir torres inimigas vulneráveis."
Campo Minado de Hexplosivos,"Ziggs espalha minas de proximidade que detonam ao contato com inimigos, causando Dano Mágico e redução de velocidade. Várias detonações de minas no mesmo alvo causam dano reduzido."
Bomba Megainfernal,"Ziggs põe para funcionar sua maior criação, a Bomba Megainfernal, arremessando-a de uma enorme distância. Inimigos no centro da detonação recebem mais dano do que aqueles mais distantes."
Zed,o Mestre das Sombras
Desprezo pelos Fracos,Os ataques básicos de Zed contra alvos com pouca Vida causam Dano Mágico adicional. Esse efeito pode ocorrer contra o mesmo Campeão inimigo apenas uma vez a cada poucos segundos.
Shuriken Laminado,"Zed e suas sombras arremessam seus shurikens.

Cada shuriken causa dano em todos os inimigos atingidos."
Sombra Viva,"Efeito passivo: Zed recebe energia sempre que ele e suas sombras atingem um inimigo com a mesma habilidade. A energia só pode ser recebida uma vez a cada conjuração de habilidade.

Ativo: A sombra de Zed avança e fica no mesmo lugar por alguns segundos. Quando Sombra Viva é reativada, Zed troca de posição com sua sombra."
Corte Sombrio,"Zed e suas sombras atacam, causando dano a inimigos próximos."
Marca Fatal,"Zed se torna inalvejável e avança contra um Campeão inimigo para marcá-lo. Após 3 segundos, a marca é ativada, repetindo parte de todo o dano que Zed causou ao alvo enquanto ele estava marcado."
Zac,a Arma Secreta
Divisão Celular,"Sempre que Zac atinge um inimigo com uma habilidade, ele perde parte de si mesmo que pode ser reabsorvida para restaurar Vida. Ao receber dano letal, Zac divide-se em 4 pedaços que tentam se recombinar. Se qualquer pedaço permanecer, ele ressuscitará uma quantia de Vida, dependendo da vida dos pedaços sobreviventes. Cada pedaço tem um percentual da Vida máxima de Zac, de sua Armadura e de Resistência Mágica. Essa habilidade tem 5 minutos de Tempo de Recarga."
Esticada,"Zac estica um braço, agarrando um inimigo. Atacar um inimigo diferente o fará arremessar ambos os alvos na direção um do outro."
Matéria Instável,"Zac explode para fora em direção a inimigos próximos, causando um percentual de suas Vidas máximas como Dano Mágico."
Estilingue Elástico,"Zac segura o chão com seus braços e se estica para trás, lançando-se para frente."
Vamos pular!,"Zac pula quatro vezes, arremessando inimigos atingidos ao ar e reduzindo a velocidade deles."
Yuumi,a Gata Mágica
Bater e Bloquear,"Periodicamente, quando Yuumi ataca um Campeão, ela restaura Mana e recebe um escudo que a segue, protegendo ela e o aliado ao qual está conectada."
Projétil Errante,"Yuumi dispara um projétil, causando Dano Mágico ao primeiro alvo que atingir. O projétil causa dano adicional e redução de velocidade se demorar pelo menos 1s para chegar ao seu alvo.

Enquanto conectada, o projétil pode ser controlado pelo cursor do mouse."
Você e Eu!,"Passivamente, Yuumi aumenta a Força Adaptativa de seu aliado e a sua própria. Ativamente, Yuumi avança em direção a um aliado-alvo, tornando-se inalvejável por qualquer ataque, exceto de torres."
Frenética,"Cura Yuumi e aumenta a Velocidade de Movimento e a Velocidade de Ataque. Se ela estiver conectada, isso afetará seu aliado em vez dela mesma.
"
Capítulo Final,"Yuumi canaliza sete disparos que causam dano, enraizando inimigos atingidos por três ou mais disparos. Ela também pode se mover, se conectar e conjurar Frenética! durante a canalização."
Yorick,o Pastor de Almas
Pastor de Almas,A Horda Maldita: Yorick pode invocar Andarilhos da Névoa e atacar inimigos próximos.
Extrema-Unção,"Yorick causa dano adicional em seu próximo ataque, além de curar a si mesmo. Se o alvo for abatido, uma cova será aberta."
Procissão Sombria,"Yorick invoca uma parede destrutível no local-alvo, que bloqueará a movimentação de inimigos."
Névoa dos Lamentos,"Yorick arremessa um glóbulo de Névoa Negra que causa dano, redução de velocidade e marca inimigos."
Louvor das Ilhas,"Yorick invoca a Donzela da Névoa, que faz com que seus ataques contra os alvos dela causem dano adicional. A Donzela também faz surgir Andarilhos automaticamente a partir de inimigos mortos."
Yone,o Inesquecido
Estilo do Caçador,"Yone causa Dano Mágico a cada segundo Ataque. Além disso, sua Chance de Acerto Crítico é aumentada."
Aço Mortal,"Golpeia à frente, causando dano a todos os inimigos em linha reta.

Ao contato, ganha um acúmulo de Tempestade Crescente por alguns segundos. Com 2 acúmulos, Aço Mortal faz com que Yone avance com o vento, arremessando ao ar os inimigos.

Aço Mortal é tratada como ataque básico e escala da mesma forma."
Fenda Espiritual,"Ataca à frente, causando dano a todos os inimigos em uma área de cone. Concede um escudo a Yone. O valor do escudo aumenta com base no número de Campeões atingidos pelo golpe.

O Tempo de Recarga e o tempo de conjuração de Fenda Espiritual escalam com Velocidade de Ataque."
Desatar da Alma,"O espírito de Yone deixa seu corpo para trás e recebe Velocidade de Movimento. Quando essa habilidade termina, o espírito de Yone volta ao corpo e ele repete parte do dano causado na forma espiritual."
Destino Selado,"Yone teleporta-se para trás do último Campeão em uma linha, desferindo um golpe tão poderoso que puxa na direção dele todos os inimigos atingidos."
Xin Zhao,o Senescal de Demacia
Determinação,Cada terceiro ataque básico causa dano adicional e cura Xin Zhao.
Golpe de Três Garras,O próximos 3 ataques normais de Xin Zhao causam mais dano. O último arremessa o oponente ao ar.
Vento Vira Relâmpago,"Xin Zhao golpeia à frente com a lança, causando Lentidão e marcando os inimigos atingidos como Desafiados."
Investida Audaciosa,"Xin Zhao avança na direção de um inimigo, ganhando Velocidade de Ataque e causando dano e Lentidão a todos os inimigos na área temporariamente. Investida Audaciosa recebe alcance aumentado contra alvos Desafiados."
Guarda Crescente,"Xin Zhao desafia um inimigo a quem tiver causado dano recentemente. Ele causa dano a inimigos próximos com base na Vida atual deles e Arremessa alvos não Desafiados para trás, tornando-se imune a qualquer dano causado por Campeões fora do círculo criado."
Xerath,o Mago Ascendente
Oscilação de Mana,Os ataques básicos de Xerath restauram Mana periodicamente.
Pulso Arcano,"Dispara um raio de energia de longo alcance, causando Dano Mágico a todos os alvos atingidos."
Olho da Destruição,"Invoca uma barragem de energia arcana, causando Dano Mágico e redução de Velocidade de Movimento a todos os inimigos em uma área. Alvos no centro recebem dano adicional e uma redução de velocidade mais forte."
Orbe Eletrizante,Causa Dano Mágico a um inimigo e o atordoa.
Ritual Arcano,Xerath imobiliza a si mesmo e dispara diversas barragens de longa distância.
Xayah,a Rebelde
Cortes Certeiros,"Depois de usar uma habilidade, os próximos ataques básicos de Xayah acertam todos os alvos pelo caminho e deixam uma Pluma."
Punhais Duplos,Xayah arremessa dois punhais que causam dano e deixam cair Plumas que podem retornar para ela.
Plumagem Mortífera,"Xayah cria uma tempestade de lâminas que aumenta seu dano e sua Velocidade de Ataque, além de conceder Velocidade de Movimento ao atacar um Campeão."
Invocadora das Lâminas,"Xayah recolhe todas as Plumas que caíram, causando dano e enraizando os inimigos."
Tempestade de Plumas,"Xayah salta pelo ar, ficando inalvejável e arremessando um leque de punhais, além de deixar cair Plumas que podem voltar para ela."
Yasuo,o Imperdoável
Estilo do Errante,"A Chance de Acerto Crítico do Yasuo é aumentada. Além disso, Yasuo vai gerando um Escudo sempre que se movimenta. O Escudo é ativado quando Yasuo sofre dano de um Campeão ou monstro."
Tempestade de Aço,"Golpeia à frente, causando dano a todos os inimigos em linha reta.

Ao contato, Tempestade de Aço concede um acúmulo de Tempestade Crescente por alguns segundos. Com 2 acúmulos, Tempestade de Aço desfere um tornado que arremessa inimigos ao ar.

Tempestade de Aço é tratada como ataque básico e escala com as mesmas coisas."
Parede de Vento,Cria uma parede movediça que bloqueia todos os projéteis inimigos por 4 segundos.
Espada Ágil,"Avança e atravessa o inimigo alvo, causando Dano Mágico. Cada conjuração aumenta o dano base de seu próximo avanço, até um limite máximo.

Não pode ser conjurada novamente no mesmo inimigo por alguns segundos.

Se Tempestade de Aço for conjurada durante o avanço, o ataque será circular."
Wukong,o Macaco Rei
Pele de Pedra,Wukong recebe Armadura e Regeneração de Vida máxima cumulativas quando luta contra Campeões e monstros.
Golpe Destruidor,"O próximo ataque de Wukong recebe Alcance de Ataque, causa dano adicional e reduz a Armadura do alvo por alguns segundos."
Guerreiro Trapaceiro,"Wukong fica Invisível e avança em uma direção, deixando para trás um clone que atacará inimigos próximos."
Resplendor das Nuvens,"Wukong avança em direção ao inimigo-alvo e conjura imagens de si próprio para atacar inimigos próximos, causando dano aos atingidos."
Ciclone,"Wukong estende seu cajado e gira repetidamente, recebendo Velocidade de Movimento.

Inimigos atingidos sofrem dano e são arremessados ao ar."
Vladimir,o Sanguinário Escarlate
Pacto Vermelho,"Cada 40 pontos de Vida adicional concedem 1 de Poder de Habilidade a Vladimir, e cada 1 ponto de Poder de Habilidade concede a Vladimir 1,4 de Vida adicional (não acumula consigo mesmo)."
Transfusão,"Vladimir rouba vida do inimigo-alvo. Quando sua reserva estiver cheia, Transfusão terá os benefícios de dano e cura drasticamente aumentados por um breve período."
Poça de Sangue,"Vladimir mergulha numa poça de sangue, tornando-se inalvejável por 2s. Além disso, inimigos na poça sofrem redução de Velocidade de Movimento e Vladimir drena Vida deles."
